type,title,isAdult,startYear,runtimeMinutes,isDrama,isComedy,isShort,isDocumentary,isTalkShow,isRomance,isFamily,isNews,isAnimation,isRealityTV,isMusic,isCrime,isAdventure,isGameShow,isMystery,isSport,isFantasy,isHorror,isThriller,isSciFi,isHistory,isBiography,isMusical,isWestern,isWar,isFilmNoir,averageRating,numVotes,directorsExperience,actorsExperience,producersExperience
movie,Un foglio bianco - Appunti su 'Il villaggio di cartone',False,2011,91,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,5,29,588,26
movie,Bittin Sen,False,2017,100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.6,55,0,142,0
video,The Sinister Saga of Making 'The Stunt Man',False,2000,112,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.1,147,16,356,1
movie,Duet,False,2016,103,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.1,22,5,83,0
short,No Stones for Azadeh,False,2011,13,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.1,7,0,45,0
short,Ropa sucia,False,2005,20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.6,9,10,292,0
short,Preempting Dissent,False,2014,42,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.4,5,4,0,0
movie,Diana & Me,False,1997,98,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.5,193,13,457,38
movie,Kharej ala el kanoun,False,2007,113,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.2,799,41,158,0
movie,Left and Loose in THE LOT,False,2011,90,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.4,40,25,90,0
movie,Freigestellt,False,2013,90,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.7,6,34,44,0
short,The Butterfly Effect,False,2012,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.9,37,1,0,0
movie,Jeremy Hardy vs. the Israeli Army,False,2003,75,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,7.4,29,0,97,5
movie,See How They Run,False,2001,60,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.2,30,11,1837,1
short,Where are you my love?,False,2014,20,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,6,3,10,3
tvMovie,Dimitrios Schulze,False,2016,89,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.5,26,0,60,43
short,El ritmo de la vida,False,2009,1,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,18,17,38,0
movie,Hénaut président,False,2012,100,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.1,17,0,211,12
movie,Asakusa Kid,False,2002,111,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,45,17,247,6
movie,Ibqa Qabilni,False,2011,86,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,23,10,213,0
movie,Ramudu Kadu Krishnudu,False,1983,125,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,9,158,1099,0
short,Farm Sluts,False,2003,17,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.6,342,5,391,1
tvMovie,Amerika,False,1996,95,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,38,35,284,92
video,The Making of 'The Visit',False,2016,10,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.4,5,0,129,0
short,Mindslime,False,2007,23,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,6.3,13,9,13,0
movie,Koi Aap Sa: But Lovers Have to Be Friends,False,2005,142,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.6,178,1,129,506
short,Specifically,False,2010,9,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,9,0,234,4
short,Paranoia,False,2010,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.2,6,11,28,0
movie,PACmen,False,2017,82,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,131,4,0,0
short,Sibahle,False,2006,30,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.5,12,9,6,0
video,Genital Hospital,True,1987,92,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.7,29,6,399,0
short,Free Zone,False,2013,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.9,13,5,15,0
